14.0000	0.0	12	11	10248
9.8000	0.0	10	42	10248
34.8000	0.0	5	72	10248
18.6000	0.0	9	14	10249
42.4000	0.0	40	51	10249
7.7000	0.0	10	41	10250
42.4000	0.15000001	35	51	10250
16.8000	0.15000001	15	65	10250
16.8000	5.0000001E-2	6	22	10251
15.6000	5.0000001E-2	15	57	10251
16.8000	0.0	20	65	10251
64.8000	5.0000001E-2	40	20	10252
2.0000	5.0000001E-2	25	33	10252
27.2000	0.0	40	60	10252
10.0000	0.0	20	31	10253
14.4000	0.0	42	39	10253
16.0000	0.0	40	49	10253
3.6000	0.15000001	15	24	10254
19.2000	0.15000001	21	55	10254
8.0000	0.0	21	74	10254
15.2000	0.0	20	2	10255
13.9000	0.0	35	16	10255
15.2000	0.0	25	36	10255
44.0000	0.0	30	59	10255
26.2000	0.0	15	53	10256
10.4000	0.0	12	77	10256
35.1000	0.0	25	27	10257
14.4000	0.0	6	39	10257
10.4000	0.0	15	77	10257
15.2000	0.2	50	2	10258
17.0000	0.2	65	5	10258
25.6000	0.2	6	32	10258
8.0000	0.0	10	21	10259
20.8000	0.0	1	37	10259
7.7000	0.25	16	41	10260
15.6000	0.0	50	57	10260
39.4000	0.25	15	62	10260
12.0000	0.25	21	70	10260
8.0000	0.0	20	21	10261
14.4000	0.0	20	35	10261
17.0000	0.2	12	5	10262
24.0000	0.0	15	7	10262
30.4000	0.0	2	56	10262
13.9000	0.25	60	16	10263
3.6000	0.0	28	24	10263
20.7000	0.25	60	30	10263
8.0000	0.25	36	74	10263
15.2000	0.0	35	2	10264
7.7000	0.15000001	25	41	10264
31.2000	0.0	30	17	10265
12.0000	0.0	20	70	10265
30.4000	5.0000001E-2	12	12	10266
14.7000	0.0	50	40	10267
44.0000	0.15000001	70	59	10267
14.4000	0.15000001	15	76	10267
99.0000	0.0	10	29	10268
27.8000	0.0	4	72	10268
2.0000	5.0000001E-2	60	33	10269
27.8000	5.0000001E-2	20	72	10269
15.2000	0.0	30	36	10270
36.8000	0.0	25	43	10270
2.0000	0.0	24	33	10271
64.8000	0.0	6	20	10272
10.0000	0.0	40	31	10272
27.8000	0.0	24	72	10272
24.8000	5.0000001E-2	24	10	10273
10.0000	5.0000001E-2	15	31	10273
2.0000	0.0	20	33	10273
14.7000	5.0000001E-2	60	40	10273
14.4000	5.0000001E-2	33	76	10273
17.2000	0.0	20	71	10274
27.8000	0.0	7	72	10274
3.6000	5.0000001E-2	12	24	10275
44.0000	5.0000001E-2	6	59	10275
24.8000	0.0	15	10	10276
4.8000	0.0	10	13	10276
36.4000	0.0	20	28	10277
39.4000	0.0	12	62	10277
15.5000	0.0	16	44	10278
44.0000	0.0	15	59	10278
35.1000	0.0	8	63	10278
12.0000	0.0	25	73	10278
31.2000	0.25	15	17	10279
3.6000	0.0	12	24	10280
19.2000	0.0	20	55	10280
6.2000	0.0	30	75	10280
7.3000	0.0	1	19	10281
3.6000	0.0	6	24	10281
14.4000	0.0	4	35	10281
20.7000	0.0	6	30	10282
15.6000	0.0	2	57	10282
12.4000	0.0	20	15	10283
7.3000	0.0	18	19	10283
27.2000	0.0	35	60	10283
27.8000	0.0	3	72	10283
35.1000	0.25	15	27	10284
15.5000	0.0	21	44	10284
27.2000	0.25	20	60	10284
11.2000	0.25	5	67	10284
14.4000	0.2	45	1	10285
14.7000	0.2	40	40	10285
26.2000	0.2	36	53	10285
14.4000	0.0	100	35	10286
39.4000	0.0	40	62	10286
13.9000	0.15000001	40	16	10287
11.2000	0.0	20	34	10287
9.6000	0.15000001	15	46	10287
5.9000	0.1	10	54	10288
10.0000	0.1	3	68	10288
8.0000	0.0	30	3	10289
26.6000	0.0	9	64	10289
17.0000	0.0	20	5	10290
99.0000	0.0	15	29	10290
16.0000	0.0	15	49	10290
10.4000	0.0	10	77	10290
4.8000	0.1	20	13	10291
15.5000	0.1	24	44	10291
42.4000	0.1	2	51	10291
64.8000	0.0	20	20	10292
50.0000	0.0	12	18	10293
3.6000	0.0	10	24	10293
35.1000	0.0	5	63	10293
6.2000	0.0	6	75	10293
14.4000	0.0	18	1	10294
31.2000	0.0	15	17	10294
