1	3.00	50.2600	4	3.00	201.0400	1	.00	1	2011-04-30 00:00:00.000	2011-04-23 00:00:00.000
2	3.00	45.1200	3	3.00	135.3600	2	.00	359	2011-04-30 00:00:00.000	2011-04-23 00:00:00.000
3	3.00	45.5805	3	3.00	136.7415	2	.00	360	2011-04-30 00:00:00.000	2011-04-23 00:00:00.000
4	550.00	16.0860	550	550.00	8847.3000	3	.00	530	2011-04-30 00:00:00.000	2011-04-23 00:00:00.000
5	1.00	57.0255	3	2.00	171.0765	4	1.00	4	2011-04-30 00:00:00.000	2011-04-23 00:00:00.000
6	550.00	37.0860	550	550.00	20397.3000	5	.00	512	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
7	468.00	26.5965	550	468.00	14628.0750	6	.00	513	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
8	550.00	27.0585	550	550.00	14882.1750	7	.00	317	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
9	550.00	33.5790	550	550.00	18468.4500	7	.00	318	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
10	550.00	46.0635	550	550.00	25334.9250	7	.00	319	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
11	3.00	47.4705	3	3.00	142.4115	8	.00	403	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
12	3.00	45.3705	3	3.00	136.1115	8	.00	404	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
13	3.00	49.6440	3	3.00	148.9320	8	.00	405	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
14	3.00	45.3705	3	3.00	136.1115	8	.00	406	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
15	3.00	43.2705	3	3.00	129.8115	8	.00	407	2011-05-14 00:00:00.000	2011-05-07 00:00:00.000
16	3.00	47.5230	3	3.00	142.5690	9	.00	422	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
17	3.00	45.4230	3	3.00	136.2690	9	.00	423	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
18	3.00	49.6965	3	3.00	149.0895	9	.00	424	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
19	3.00	45.4230	3	3.00	136.2690	9	.00	425	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
20	3.00	43.3230	3	3.00	129.9690	9	.00	426	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
21	3.00	47.4705	3	3.00	142.4115	10	.00	320	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
22	3.00	42.7980	3	3.00	128.3940	10	.00	321	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
23	60.00	25.4205	60	60.00	1525.2300	10	.00	322	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
24	3.00	41.2230	3	3.00	123.6690	11	.00	438	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
25	3.00	45.4965	3	3.00	136.4895	11	.00	439	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
26	3.00	41.2230	3	3.00	123.6690	11	.00	440	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
27	3.00	39.1230	3	3.00	117.3690	11	.00	441	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
28	468.00	62.9895	550	550.00	34644.2250	12	82.00	941	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
29	3.00	45.3705	3	3.00	136.1115	13	.00	320	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
30	3.00	40.4880	3	3.00	121.4640	13	.00	321	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
31	60.00	26.3655	60	60.00	1581.9300	13	.00	322	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
32	.00	48.7620	3	3.00	146.2860	14	3.00	504	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
33	3.00	34.1880	3	3.00	102.5640	15	.00	497	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
34	3.00	50.2635	3	3.00	150.7905	16	.00	323	2011-12-28 00:00:00.000	2011-12-21 00:00:00.000
35	550.00	10.7310	550	550.00	5902.0500	17	.00	523	2011-12-29 00:00:00.000	2011-12-22 00:00:00.000
36	550.00	14.1225	550	550.00	7767.3750	17	.00	524	2011-12-29 00:00:00.000	2011-12-22 00:00:00.000
37	60.00	50.2635	60	60.00	3015.8100	18	.00	492	2011-12-29 00:00:00.000	2011-12-22 00:00:00.000
38	60.00	57.1515	60	60.00	3429.0900	18	.00	493	2011-12-29 00:00:00.000	2011-12-22 00:00:00.000
