1.0002	USD	2011-05-31 00:00:00.000	1.0000	2011-05-31 00:00:00.000	ARS	1
1.5500	USD	2011-05-31 00:00:00.000	1.5491	2011-05-31 00:00:00.000	AUD	2
1.9419	USD	2011-05-31 00:00:00.000	1.9379	2011-05-31 00:00:00.000	BRL	3
1.4683	USD	2011-05-31 00:00:00.000	1.4641	2011-05-31 00:00:00.000	CAD	4
8.2784	USD	2011-05-31 00:00:00.000	8.2781	2011-05-31 00:00:00.000	CNY	5
1.8976	USD	2011-05-31 00:00:00.000	1.8967	2011-05-31 00:00:00.000	DEM	6
.9703	USD	2011-05-31 00:00:00.000	.9697	2011-05-31 00:00:00.000	EUR	7
6.3613	USD	2011-05-31 00:00:00.000	6.3611	2011-05-31 00:00:00.000	FRF	8
.6183	USD	2011-05-31 00:00:00.000	.6183	2011-05-31 00:00:00.000	GBP	9
104.9580	USD	2011-05-31 00:00:00.000	104.9100	2011-05-31 00:00:00.000	JPY	10
9.3840	USD	2011-05-31 00:00:00.000	9.3740	2011-05-31 00:00:00.000	MXN	11
3.7584	USD	2011-05-31 00:00:00.000	3.7507	2011-05-31 00:00:00.000	SAR	12
634.6000	USD	2011-05-31 00:00:00.000	634.5099	2011-05-31 00:00:00.000	VEB	13
.9991	USD	2011-06-01 00:00:00.000	1.0000	2011-06-01 00:00:00.000	ARS	14
1.5558	USD	2011-06-01 00:00:00.000	1.5559	2011-06-01 00:00:00.000	AUD	15
1.9330	USD	2011-06-01 00:00:00.000	1.9339	2011-06-01 00:00:00.000	BRL	16
1.4637	USD	2011-06-01 00:00:00.000	1.4661	2011-06-01 00:00:00.000	CAD	17
8.2774	USD	2011-06-01 00:00:00.000	8.2781	2011-06-01 00:00:00.000	CNY	18
1.8922	USD	2011-06-01 00:00:00.000	1.8924	2011-06-01 00:00:00.000	DEM	19
.9670	USD	2011-06-01 00:00:00.000	.9676	2011-06-01 00:00:00.000	EUR	20
6.3465	USD	2011-06-01 00:00:00.000	6.3468	2011-06-01 00:00:00.000	FRF	21
.6162	USD	2011-06-01 00:00:00.000	.6166	2011-06-01 00:00:00.000	GBP	22
105.6740	USD	2011-06-01 00:00:00.000	105.7000	2011-06-01 00:00:00.000	JPY	23
9.3919	USD	2011-06-01 00:00:00.000	9.3949	2011-06-01 00:00:00.000	MXN	24
3.7507	USD	2011-06-01 00:00:00.000	3.7507	2011-06-01 00:00:00.000	SAR	25
634.2400	USD	2011-06-01 00:00:00.000	634.2500	2011-06-01 00:00:00.000	VEB	26
1.0004	USD	2011-06-02 00:00:00.000	1.0000	2011-06-02 00:00:00.000	ARS	27
1.5597	USD	2011-06-02 00:00:00.000	1.5592	2011-06-02 00:00:00.000	AUD	28
